LAMP2	Class II 	TRUE
CD74	Class II 	TRUE
HLA-DMA	Class II 	TRUE
HLA-DMB	Class II 	TRUE
HLA-DOA	Class II 	TRUE
HLA-DOB	Class II 	TRUE
CIITA	Class II 	TRUE
HLA-DP	Class II 	TRUE
HLA-DQ	Class II 	TRUE
HLA-DR	Class II 	TRUE
CTSS	Class II 	TRUE
CTSL	Class II 	TRUE
CTSB	Class II 	TRUE
CTSD	Class II 	TRUE
IFI30	Class II 	TRUE
ERAP1	Class I 	TRUE
CANX	Class I 	TRUE
PSMB9	Class I 	TRUE
PSMB8	Class I 	TRUE
PSMB10	Class I 	TRUE
PSME1	Class I 	TRUE
PSME2	Class I 	TRUE
PSMB5	Class I 	TRUE
PSMB6	Class I 	TRUE
PSMB7	Class I 	TRUE
ERAP2	Class I 	TRUE
CALR	Class I 	TRUE
TAPBP	Class I 	TRUE
PDIA3	Class I 	TRUE
TAP1	Class I 	TRUE
TAP2	Class I 	TRUE
HLA-A	Class I 	TRUE
HLA-B	Class I 	TRUE
HLA-C	Class I		TRUE
B2M	Class I 	TRUE
HLA-E	Class I 	TRUE
SYP	MCC Marker 	TRUE
CHGA	MCC Marker	TRUE
SOX2	MCC Marker	TRUE
KRT20	MCC Marker	TRUE
STAg	MCPyV Small T antigen
LTAg	MCPyV Large T antigen
PHLDA1	MAPK Pathway
SPRY2	MAPK Pathway
SPRY4	MAPK Pathway
DUSP4	MAPK Pathway
DUSP6	MAPK Pathway
CCND1	MAPK Pathway
EPHA2	MAPK Pathway
EPHA4	MAPK Pathway
ETV4	MAPK Pathway
ETV5	MAPK Pathway
HLA-F	Class I
HLA-F-AS1	Class I
HLA-V	Class I     
HLA-G	Class I  
HLA-J	Class I
HLA-L	Class I
HLA-DRA	Class II
HLA-DRB5	Class II
HLA-DRB6	Class II
HLA-DRB1	Class II
HLA-DQA1	Class II
HLA-DQB1	Class II
HLA-DQB2	Class II
HLA-DPA1	Class II
HLA-DPB1	Class II
HLA-DPB2	Class II
CD1C	DC
CD14	DC/Mono/Macro
ITGAX	DC
ITGAM	DC/Mono/Macro
IL3RA	DC
CD4	T cell
CD8	T cell
CD247	T cell
CD3D	T cell
CD3G	T cell
CD3E	T cell
CD19	B cell
MS4A1	B cell
SDC1	B cell
IL1A	Inf Cytokine
IL1B	Inf Cytokine
TNF	Inf Cytokine
IFNG	Inf Cytokine
IL12A	Inf Cytokine
IL18	Inf Cytokine
IL10	Anti-inf Cytokine
IL13	Anti-inf Cytokine
IFNA5	Anti-inf Cytokine
TGFB1	Anti-inf Cytokine
TGFB2	Anti-inf Cytokine
NLRC5	Class I
